Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Shai Gilgeous-Alexander,25,PG,75,75,34.0,10.6,19.8,.535,1.3,3.6,.353,9.3,16.2,.576,.567,7.6,8.7,.874,0.9,4.7,5.5,6.2,2.0,0.9,2.2,2.5,30.1,MVP-2DPOY-7CPOY-3ASNBA1,gilgesh01
2,Jalen Williams,22,PF,71,71,31.3,7.5,14.0,.540,1.5,3.4,.427,6.1,10.6,.576,.592,2.5,3.1,.814,0.5,3.5,4.0,4.5,1.1,0.6,1.7,2.5,19.1,CPOY-12,willija06
3,Chet Holmgren,21,C,82,82,29.4,6.2,11.6,.530,1.6,4.3,.370,4.6,7.4,.623,.598,2.7,3.4,.793,1.6,6.3,7.9,2.4,0.6,2.3,1.6,2.4,16.5,ROY-2,holmgch01
4,Luguentz Dort,24,SF,79,79,28.4,3.6,8.3,.438,2.0,5.0,.394,1.7,3.3,.506,.557,1.6,2.0,.826,0.9,2.7,3.6,1.4,0.9,0.6,0.9,2.9,10.9,,dortlu01
5,Josh Giddey,21,SG,80,80,25.1,5.0,10.6,.475,1.0,3.0,.337,4.0,7.6,.530,.523,1.3,1.6,.806,1.4,5.0,6.4,4.8,0.6,0.6,2.1,1.4,12.3,,giddejo01
6,Cason Wallace,20,SG,82,13,20.6,2.6,5.4,.491,1.2,2.9,.419,1.5,2.5,.572,.602,0.4,0.5,.784,0.6,1.6,2.3,1.5,0.9,0.5,0.5,1.6,6.8,,wallaca01
7,Isaiah Joe,24,SG,78,1,18.5,2.8,6.2,.458,1.9,4.5,.416,1.0,1.7,.568,.609,0.6,0.7,.865,0.4,1.9,2.3,1.3,0.6,0.3,0.6,1.1,8.2,,joeis01
8,Gordon Hayward,33,SF,26,3,17.2,1.8,4.1,.453,0.6,1.1,.517,1.3,3.0,.429,.524,1.0,1.5,.692,0.5,2.0,2.5,1.6,0.5,0.0,0.6,0.8,5.3,,haywago01
9,Aaron Wiggins,25,SG,78,4,15.7,2.7,4.8,.562,0.8,1.6,.492,1.9,3.2,.598,.645,0.7,0.9,.789,0.8,1.6,2.4,1.1,0.7,0.2,0.7,1.2,6.9,,wiggiaa01
10,Kenrich Williams,29,PF,69,1,14.9,1.9,4.1,.468,0.8,2.0,.397,1.1,2.0,.540,.568,0.1,0.2,.500,0.9,2.1,3.0,1.3,0.6,0.1,0.5,1.5,4.7,,willike04
11,Jaylin Williams,21,C,69,1,13.0,1.4,3.3,.417,0.8,2.1,.368,0.6,1.2,.500,.533,0.5,0.6,.805,0.5,2.9,3.4,1.6,0.4,0.4,0.5,1.4,4.0,,willija07
12,Vasilije Micić,30,PG,30,0,12.0,1.2,3.0,.407,0.4,1.5,.244,0.9,1.5,.565,.467,0.5,0.6,.737,0.0,0.8,0.8,2.5,0.3,0.1,1.0,0.7,3.3,,micicva01
13,Ousmane Dieng,20,PF,33,0,11.1,1.5,3.5,.422,0.6,2.1,.300,0.8,1.4,.609,.513,0.4,0.5,.875,0.3,1.2,1.5,1.1,0.2,0.2,0.6,0.7,4.0,,diengou01
14,Tre Mann,22,PG,13,0,9.2,1.5,3.1,.500,0.6,1.5,.421,0.9,1.6,.571,.600,0.1,0.1,1.000,0.3,1.5,1.8,1.5,0.2,0.0,0.7,0.2,3.8,,manntr01
15,Lindy Waters III,26,SG,38,0,7.4,1.3,2.7,.471,1.0,2.2,.435,0.3,0.5,.632,.649,0.1,0.1,1.000,0.2,0.9,1.1,0.6,0.1,0.2,0.2,0.6,3.6,,waterli01
16,Keyontae Johnson,23,SF,9,0,7.3,0.6,1.8,.313,0.1,0.3,.333,0.4,1.4,.308,.344,0.0,0.0,,0.4,0.7,1.1,0.4,0.1,0.0,0.4,0.6,1.2,,johnske08
17,Bismack Biyombo,31,C,10,0,7.3,0.7,1.2,.583,0.0,0.0,,0.7,1.2,.583,.583,0.4,0.8,.500,0.5,1.3,1.8,0.2,0.1,0.3,0.4,0.7,1.8,,biyombi01
18,Adam Flagler,24,SG,2,0,7.0,0.5,3.5,.143,0.5,3.0,.167,0.0,0.5,.000,.214,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.5,,flaglad01
19,Olivier Sarr,24,C,15,0,6.5,0.7,1.3,.579,0.1,0.4,.333,0.6,0.9,.692,.632,0.7,1.0,.667,0.7,1.7,2.4,0.1,0.0,0.5,0.2,1.2,2.3,,sarrol01
20,Dāvis Bertāns,31,PF,15,0,6.1,0.7,1.7,.385,0.7,1.6,.417,0.0,0.1,.000,.577,0.9,1.0,.933,0.1,0.5,0.7,0.6,0.2,0.2,0.1,0.7,2.9,,bertada01
21,Aleksej Pokusevski,22,PF,10,0,6.0,0.4,1.6,.250,0.2,1.1,.182,0.2,0.5,.400,.313,0.2,0.4,.500,0.2,0.8,1.0,0.5,0.1,0.1,0.3,0.5,1.2,,pokusal01
22,Mike Muscala,32,C,16,0,5.7,0.5,1.4,.364,0.1,0.7,.091,0.4,0.7,.636,.386,0.0,0.1,.000,0.4,0.9,1.3,0.3,0.1,0.1,0.3,0.5,1.1,,muscami01
,Team Totals,,,82,82,241.5,44.5,89.3,.499,13.3,34.2,.389,31.3,55.1,.567,.573,17.7,21.5,.825,8.8,33.2,42.0,27.1,8.5,6.6,12.7,18.8,120.1,,-9999